13,27000, 170, 3, 1, false
12,30500, 300, 2, 1, false
14,36000, 288, 3, 1, false
15,37000, 360, 2, 1, false
16,37900, 318, 5, 2, false
23,37900, 400, 3, 1, true
24,38000, 393, 4, 2, false
45,38000, 200, 2, 1, false
2,38500, 400, 2, 1, false
17,40500, 330, 3, 1, false
18,40750, 520, 4, 1, false
47,41000, 304, 2, 1, false
1,42000, 585, 3, 1, false
25,42000, 496, 2, 1, false
26,42300, 300, 2, 1, false
48,43000, 309, 3, 1, false
27,43500, 380, 2, 1, false
28,44000, 496, 2, 1, true
46,44000, 216, 3, 1, false
29,44500, 300, 3, 1, true
30,44900, 450, 3, 1, true
19,45000, 345, 1, 1, false
20,45000, 398, 6, 2, false
31,45000, 350, 2, 1, false
32,48000, 350, 4, 1, true
49,48000, 496, 4, 1, false
21,48500, 478, 5, 3, false
33,49000, 400, 2, 1, false
3,49500, 306, 3, 1, false
34,51500, 450, 2, 1, false
40,54500, 315, 2, 2, false
50,54800, 335, 3, 1, false
4,60500, 665, 3, 1, false
5,61000, 636, 2, 1, false
35,61000, 636, 2, 1, false
36,61000, 450, 2, 1, true
37,61700, 403, 2, 2, false
22,65900, 451, 4, 2, false
6,66000, 416, 3, 1, true
7,66000, 388, 3, 2, false
41,66500, 374, 5, 3, false
38,67000, 517, 3, 1, true
8,69000, 416, 3, 1, false
42,70000, 452, 3, 1, true
39,82000, 540, 4, 2, true
43,82000, 464, 4, 1, false
9,83800, 480, 3, 1, false
10,88500, 550, 3, 2, true
11,90000, 720, 3, 2, true
44,92000, 858, 5, 3, false
